ID;Player;Age;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Pos;3P Dependency;2P Dependency;FT Dependency;PTS/MP;AST/MP;TRB/MP;STL/MP;BLK/MP;AST/TOV;Rebound Ratio;PTS/FGA;FT Rate;Usage Rate;PIE
59;Brandon Williams;22.0;24.0;16.0;26.7;4.4;11.8;0.4;1.3;4.4;0.3;3.1;7.3;0.4;0.4;2.8;4.0;0.7;0.8;2.3;3.1;3.9;1.0;0.4;2.4;2.2;12.9;PG;0.302;0.481;0.217;0.483;0.146;0.116;0.037;0.015;1.625;0.129;1.093;0.339;0.598;10.3
60;Braxton Key;26.0;20.0;0.0;3.0;0.4;0.9;0.4;0.1;0.3;0.4;0.3;0.6;0.4;0.5;0.3;0.4;0.8;0.2;0.8;0.9;0.5;0.1;0.1;0.1;0.3;1.1;SF;0.273;0.545;0.273;0.367;0.167;0.3;0.033;0.033;5.0;0.05;1.222;0.444;0.392;2.1
61;Brice Sensabaugh;20.0;32.0;11.0;18.3;2.7;6.8;0.4;1.1;3.6;0.3;1.6;3.2;0.5;0.5;1.2;1.3;0.9;0.5;2.7;3.2;1.7;0.4;0.2;1.5;1.3;7.5;SF;0.44;0.427;0.16;0.41;0.093;0.175;0.022;0.011;1.133;0.1;1.103;0.191;0.485;7.3
62;Brook Lopez;34.5;78.5;78.5;30.4;5.4;10.6;0.5;1.8;4.9;0.4;3.6;5.6;0.6;0.6;1.6;2.0;0.8;1.8;4.2;6.0;1.5;0.5;2.4;1.2;2.5;14.2;C;0.38;0.507;0.113;0.467;0.049;0.197;0.016;0.079;1.25;0.076;1.34;0.189;0.417;17.8
63;Bruce Brown;26.4;57.2;32.8;27.3;4.1;8.5;0.5;0.8;2.4;0.3;3.3;6.1;0.5;0.5;1.6;2.0;0.8;0.9;3.4;4.3;2.8;1.0;0.4;1.2;2.3;10.6;SF;0.226;0.623;0.151;0.388;0.103;0.158;0.037;0.015;2.333;0.075;1.247;0.235;0.388;13.1
64;Bruno Fernando;23.8;33.0;2.0;9.1;1.4;2.5;0.6;0.0;0.1;0.3;1.4;2.5;0.6;0.6;0.8;1.2;0.7;1.0;1.8;2.9;0.6;0.2;0.6;0.6;1.5;3.6;C;0.0;0.778;0.222;0.396;0.066;0.319;0.022;0.066;1.0;0.085;1.44;0.48;0.399;5.7
65;Bryce McGowens;20.5;52.5;10.5;16.0;1.7;4.2;0.4;0.6;1.7;0.3;1.2;2.4;0.5;0.5;1.2;1.5;0.8;0.4;1.5;1.8;1.0;0.4;0.2;0.7;1.2;5.2;SG;0.346;0.462;0.231;0.325;0.062;0.112;0.025;0.012;1.429;0.036;1.238;0.357;0.348;5.2
66;Bryn Forbes;28.2;43.8;1.0;15.5;2.6;6.2;0.4;1.4;3.4;0.4;1.2;2.8;0.4;0.5;1.0;1.0;0.9;0.2;0.9;1.1;0.9;0.3;0.1;0.7;1.2;7.5;SG;0.56;0.32;0.133;0.484;0.058;0.071;0.019;0.006;1.286;0.025;1.21;0.161;0.474;5.6
67;Buddy Hield;30.0;58.6;31.6;29.0;5.2;12.2;0.4;3.0;7.9;0.4;2.2;4.3;0.5;0.6;1.0;1.2;0.9;0.8;3.2;4.0;3.0;0.9;0.4;1.6;2.2;14.5;SG;0.621;0.303;0.069;0.5;0.103;0.138;0.031;0.014;1.875;0.068;1.189;0.098;0.494;14.0
68;CJ Elleby;21.0;58.0;28.0;20.2;2.1;5.3;0.4;0.6;2.2;0.3;1.4;3.1;0.5;0.5;1.0;1.4;0.7;1.1;2.8;3.9;1.5;0.6;0.3;1.0;2.0;5.8;SF;0.31;0.483;0.172;0.287;0.074;0.193;0.03;0.015;1.5;0.067;1.094;0.264;0.342;7.5
69;CJ McCollum;30.6;53.0;53.0;34.3;8.3;18.1;0.5;3.0;7.6;0.4;5.2;10.4;0.5;0.5;2.0;2.8;0.7;0.8;3.6;4.4;5.1;1.0;0.4;2.0;1.9;21.6;SG;0.417;0.481;0.093;0.63;0.149;0.128;0.029;0.012;2.55;0.083;1.193;0.155;0.622;19.9
70;Cade Cunningham;21.0;63.0;63.0;33.0;7.6;17.5;0.4;1.8;5.6;0.3;5.7;11.9;0.5;0.5;3.0;3.5;0.9;0.7;4.2;4.9;6.6;1.0;0.6;3.6;2.8;20.0;PG;0.27;0.57;0.15;0.606;0.2;0.148;0.03;0.018;1.833;0.078;1.143;0.2;0.686;19.1
