Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%
Sam Merrill,3.3,27.0,0.323,0.9,1.2,0.0,0.0,0.4
Santi Aldama,6.5,22.0,0.353,1.2,4.3,0.5,0.0,0.5
Scottie Barnes,12.8,20.0,0.407,4.3,9.0,1.0,0.3,0.2
Serge Ibaka,1.5,32.0,0.846,0.0,1.7,0.0,0.0,0.0
Seth Curry,11.4,31.5,0.343,2.5,1.8,0.2,0.4,0.4
Shai Gilgeous-Alexander,30.2,25.0,0.706,6.4,7.2,1.3,1.7,0.4
Shake Milton,2.5,26.0,0.342,0.6,0.8,0.4,0.1,0.2
Shaquille Harrison,1.3,29.0,0.581,1.1,0.4,0.3,0.0,1.0
Skylar Mays,1.0,24.0,0.333,0.5,0.5,0.5,0.0,0.0
Spencer Dinwiddie,11.2,29.0,0.436,3.9,2.4,0.8,0.3,0.4
Stephen Curry,29.0,33.5,0.749,6.0,5.2,1.2,0.4,0.4
Sterling Brown,1.2,26.0,0.604,0.3,0.9,0.4,0.2,0.0
Steven Adams,3.4,28.0,0.264,2.1,6.4,0.1,0.1,0.0
Svi Mykhailiuk,0.6,25.0,0.496,0.0,0.4,0.0,0.0,0.1
T.J. McConnell,11.8,31.0,0.61,5.1,3.1,0.9,0.1,0.3
T.J. Warren,1.4,29.5,0.265,0.4,1.1,0.1,0.2,0.1
Taurean Prince,7.1,28.0,0.397,0.9,1.8,0.4,0.3,0.3
Terance Mann,10.0,26.5,0.318,2.0,4.1,0.4,0.1,0.5
Terence Davis,6.0,25.0,0.394,1.5,2.3,0.3,0.0,0.4
Terrence Ross,3.7,31.0,0.409,0.2,1.3,0.2,0.3,0.3
Thaddeus Young,1.6,34.0,0.204,0.8,1.5,0.4,0.1,0.1
Thanasis Antetokounmpo,0.2,30.0,0.458,0.0,0.2,0.2,0.2,0.0
Thomas Bryant,3.0,25.5,0.589,0.2,1.2,0.0,0.0,0.0
Tim Hardaway Jr.,4.4,31.0,0.351,0.4,1.8,0.4,0.1,0.4
Timothé Luwawu-Cabarrot,1.3,26.0,0.236,0.5,0.8,0.0,0.0,0.3
Tobias Harris,13.7,30.0,0.349,2.0,7.4,0.6,0.6,0.4
Tony Bradley,5.0,24.0,0.875,0.5,2.0,0.0,0.0,0.0
Torrey Craig,4.4,31.5,0.313,0.6,2.0,0.4,0.2,0.4
Trae Young,22.3,23.5,0.726,8.1,4.4,1.2,0.4,0.3
Trey Burke,3.2,29.0,0.693,0.4,0.3,0.1,0.0,0.4
Trey Lyles,6.6,27.0,0.379,0.7,5.7,0.3,0.0,0.3
Trey Murphy III,8.4,22.0,0.293,1.4,4.5,0.9,0.8,0.4
Tristan Thompson,1.4,31.0,0.296,0.6,1.8,0.1,0.2,0.0
Troy Brown Jr.,2.9,22.5,0.398,1.0,2.4,0.4,0.0,0.2
Tyler Herro,13.8,23.0,0.541,3.4,3.2,0.3,0.5,0.4
Tyrese Haliburton,18.7,23.0,0.488,8.2,4.8,1.3,0.7,0.4
Tyrese Maxey,23.7,22.0,0.533,4.3,4.5,1.0,0.3,0.4
Tyus Jones,6.8,25.5,0.421,4.1,3.2,1.2,0.1,0.3
Udonis Haslem,1.0,42.0,1.667,0.0,0.5,0.0,0.0,0.0
Victor Oladipo,11.0,29.5,0.502,1.6,3.4,1.2,0.4,0.3
Vlatko Cancar,1.2,24.5,0.531,0.4,0.8,0.0,0.0,0.2
Wendell Carter Jr.,7.6,24.0,0.307,1.3,6.3,0.7,0.6,0.3
Wendell Moore Jr.,0.6,21.5,0.48,0.2,0.2,0.1,0.0,0.1
Wenyen Gabriel,1.0,25.0,0.36,0.0,0.9,0.2,0.3,0.0
Wesley Matthews,6.1,35.5,0.214,0.8,2.3,0.9,0.4,0.5
Will Barton,13.8,31.0,0.457,2.8,5.6,0.8,0.2,0.4
Willy Hernangómez,2.0,27.0,2.5,0.0,2.0,0.0,0.0,0.0
Xavier Tillman Sr.,4.9,24.0,0.259,1.4,4.4,0.6,0.4,0.6
Yuta Watanabe,2.0,27.5,0.747,0.0,0.5,0.0,0.0,0.2
Zach LaVine,19.3,26.0,0.535,6.0,5.3,0.8,0.3,0.4
Zeke Nnaji,1.4,22.0,0.305,0.0,0.4,0.1,0.1,0.4
Ziaire Williams,4.1,20.5,0.421,0.5,1.0,0.2,0.0,0.3
