Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%
Clint Capela,5.2,27.5,0.24,0.2,7.9,0.8,0.5,0.0
Coby White,8.4,21.0,0.543,1.8,3.4,0.2,0.0,0.3
Cody Zeller,2.2,30.0,0.314,0.3,2.3,0.1,0.2,0.0
Cole Anthony,5.1,23.0,0.488,1.3,2.1,0.6,0.1,0.2
D'Angelo Russell,13.2,26.0,0.474,5.2,2.7,1.0,0.2,0.3
DaQuan Jeffries,1.0,25.5,0.526,0.0,0.5,0.2,0.0,0.2
Dalano Banton,1.8,22.0,0.73,0.3,0.5,0.3,0.0,0.0
Damian Jones,1.0,28.0,0.444,1.0,1.0,0.0,0.5,0.0
Damian Lillard,31.3,33.0,0.687,5.0,3.3,1.0,0.0,0.4
Damion Lee,2.0,29.5,0.275,0.5,1.5,0.2,0.0,0.2
Daniel Gafford,9.0,25.0,0.387,0.7,5.5,0.3,1.5,0.0
Daniel Theis,3.6,30.0,0.316,0.4,2.2,0.2,0.2,0.6
Danilo Gallinari,7.0,34.0,0.413,0.8,3.6,0.1,0.0,0.1
Danny Green,4.7,34.5,0.284,0.6,2.4,0.8,0.3,0.3
Dante Exum,2.0,28.0,0.352,0.6,0.8,0.1,0.0,0.4
Danuel House Jr.,3.6,28.5,0.347,0.4,2.2,0.0,0.1,0.2
Darius Garland,18.2,23.5,0.534,5.4,2.7,1.4,0.2,0.4
David Duke Jr.,2.0,23.0,0.8,0.0,0.0,0.0,0.0,0.0
David Roddy,1.9,21.5,0.358,0.4,1.4,0.0,0.2,0.2
Davion Mitchell,7.1,24.0,0.395,1.7,1.3,0.9,0.1,0.3
Davis Bertans,4.1,29.0,0.337,0.3,1.4,0.4,0.1,0.4
Day'Ron Sharpe,1.5,20.5,0.304,1.2,1.5,0.0,0.2,0.0
De'Aaron Fox,27.4,25.0,0.782,7.7,5.4,2.1,0.6,0.3
De'Andre Hunter,19.0,24.5,0.473,0.9,4.8,0.8,0.2,0.4
De'Anthony Melton,4.5,24.0,0.379,1.4,2.5,0.7,0.4,0.2
DeAndre Jordan,2.2,34.0,0.268,0.2,1.6,0.2,0.5,0.0
DeMar DeRozan,20.8,32.0,0.587,4.8,5.4,1.8,0.4,0.0
DeMarcus Cousins,10.6,31.0,0.747,1.2,3.4,0.6,0.2,0.7
Dean Wade,2.4,26.5,0.229,0.8,1.8,0.2,0.4,0.2
Deandre Ayton,15.6,23.5,0.463,1.4,9.3,0.5,0.8,0.2
Dejounte Murray,23.0,26.0,0.616,6.8,7.2,2.0,0.2,0.4
Delon Wright,8.1,30.0,0.237,2.3,3.9,0.9,0.2,0.5
Dennis Schröder,7.4,29.0,0.325,2.9,1.9,1.0,0.2,0.3
Dereck Lively II,7.9,19.0,0.308,1.3,7.4,0.4,1.0,1.0
Derrick Jones Jr.,6.4,25.0,0.317,0.8,2.4,0.4,0.5,0.3
Derrick Rose,1.0,34.0,1.667,1.0,0.0,0.0,0.0,0.0
Derrick White,12.9,28.0,0.39,3.0,3.4,0.8,0.9,0.4
Desmond Bane,21.2,23.5,0.538,2.7,4.9,0.7,0.4,0.4
Devin Booker,28.2,26.0,0.621,5.9,4.3,1.3,0.5,0.4
Devonte' Graham,4.0,26.0,0.427,0.7,1.5,0.2,0.2,0.4
Dewayne Dedmon,1.9,32.5,0.416,0.2,2.0,0.0,0.1,0.0
Dillon Brooks,12.6,26.5,0.568,2.2,2.8,0.6,0.2,0.3
Domantas Sabonis,16.4,26.0,0.564,4.7,11.0,1.4,0.9,0.2
Donovan Mitchell,26.1,26.0,0.697,5.9,4.9,1.3,0.5,0.3
Donte DiVincenzo,11.6,26.5,0.433,2.7,3.5,1.0,0.6,0.4
Dorian Finney-Smith,9.0,28.5,0.272,1.4,5.0,0.8,0.4,0.4
Doug McDermott,1.3,32.0,0.188,0.7,0.3,0.0,0.2,0.4
Draymond Green,8.7,31.5,0.337,6.6,7.0,1.3,1.0,0.2
Drew Eubanks,5.7,26.0,0.418,0.0,1.3,0.7,0.3,0.0
Duncan Robinson,5.7,28.0,0.399,1.1,1.4,0.3,0.1,0.4
Dwight Powell,1.8,31.0,0.209,0.2,1.8,0.2,0.2,0.0
Dyson Daniels,1.3,20.0,0.404,0.0,0.7,0.7,0.0,0.0
E.J. Liddell,1.0,23.0,0.667,0.0,1.0,0.0,0.0,0.0
Edmond Sumner,1.0,27.0,0.5,1.0,0.0,0.0,0.0,0.0
Elfrid Payton,2.0,27.0,0.625,1.5,0.0,0.0,0.0,0.0
Eric Gordon,9.1,34.5,0.321,2.0,1.6,1.0,0.4,0.4
Eric Paschall,2.0,25.0,0.439,0.0,1.3,0.3,0.0,0.5
Evan Mobley,12.9,21.5,0.385,2.2,9.6,0.7,1.7,0.1
Facundo Campazzo,1.0,30.0,0.303,0.5,0.8,0.0,0.0,0.0
Frank Ntilikina,1.9,23.0,0.245,0.8,1.0,0.7,0.1,0.3
Franz Wagner,18.9,22.0,0.507,4.4,6.9,0.7,1.3,0.3
Fred VanVleet,13.8,27.0,0.433,6.3,3.0,1.8,1.0,0.3
Furkan Korkmaz,1.9,24.5,0.38,0.4,0.8,0.0,0.0,0.2
Gabe Vincent,7.4,26.0,0.376,2.4,1.6,0.7,0.2,0.3
Garrett Temple,1.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0
Gary Harris,4.2,29.0,0.194,0.7,2.0,1.2,0.5,0.3
Gary Payton II,6.6,29.5,0.325,1.0,3.4,1.0,0.6,0.4
Gary Trent Jr.,15.3,23.0,0.47,1.3,1.7,1.0,0.5,0.3
George Hill,1.0,35.0,0.091,0.6,1.2,0.0,0.0,0.5
Georges Niang,4.0,29.0,0.317,0.5,1.0,0.2,0.1,0.3
Giannis Antetokounmpo,27.5,27.5,0.892,6.0,12.6,0.5,1.0,0.1
Goga Bitadze,1.0,24.0,0.3,1.0,1.5,0.0,0.0,0.0
Goran Dragic,6.2,35.5,0.485,1.0,2.2,0.4,0.0,0.2
Gordon Hayward,1.0,33.0,0.212,0.4,1.9,0.1,0.1,0.0
Gorgui Dieng,1.5,32.0,0.444,0.0,1.5,0.0,0.0,0.0
Grant Williams,6.8,23.5,0.274,1.0,3.0,0.3,0.6,0.4
Grayson Allen,7.8,27.0,0.29,1.4,3.1,0.5,0.1,0.4
Greg Monroe,2.0,31.0,0.857,0.5,1.0,1.0,0.0,0.0
Harrison Barnes,10.7,30.0,0.38,0.7,3.4,1.1,0.3,0.2
Hassan Whiteside,1.8,32.0,0.306,0.0,5.2,0.3,1.3,0.0
Haywood Highsmith,3.1,26.0,0.267,0.8,1.6,0.3,0.1,0.4
Herbert Jones,11.8,24.0,0.337,2.2,4.2,1.6,0.6,0.4
Hunter Tyson,0.3,23.0,0.406,0.3,1.0,0.0,0.0,0.0
Immanuel Quickley,9.0,23.0,0.479,1.0,1.6,0.5,0.0,0.2
Isaac Bonga,2.0,22.0,0.96,0.0,1.0,0.0,0.0,0.0
Isaac Okoro,6.0,22.5,0.35,1.0,1.6,0.6,0.4,0.3
