Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%
Moses Moody,5.8,20.0,0.386,0.7,2.1,0.3,0.2,0.4
Moussa Diabaté,2.7,21.0,0.316,0.2,2.3,0.3,0.4,0.5
Myles Turner,16.0,26.0,0.494,1.2,7.2,0.6,2.3,0.4
Naji Marshall,7.3,25.0,0.419,1.8,3.3,0.7,0.2,0.3
Nassir Little,6.6,22.0,0.361,0.9,3.3,0.4,0.5,0.3
Nathan Knight,3.7,24.5,0.474,0.4,1.9,0.2,0.2,0.3
Nathan Mensah,1.3,25.0,0.156,0.4,2.6,0.2,0.6,0.0
Naz Reid,11.1,23.0,0.54,1.1,4.7,0.6,0.9,0.4
Neemias Queta,5.5,24.0,0.39,0.7,4.4,0.5,0.8,0.0
Nemanja Bjelica,6.1,33.0,0.403,2.2,4.1,0.6,0.4,0.4
Nerlens Noel,3.4,27.0,0.166,0.9,5.6,1.2,1.2,0.0
Nic Claxton,11.0,23.0,0.354,1.6,8.2,0.7,1.9,0.1
Nick Richards,7.0,25.0,0.335,0.6,5.4,0.3,0.9,0.3
Nick Smith Jr.,5.9,19.0,0.464,1.2,1.4,0.2,0.1,0.4
Nickeil Alexander-Walker,8.3,23.8,0.466,2.2,2.2,0.6,0.4,0.4
Nicolas Batum,6.3,34.2,0.242,1.9,4.1,0.8,0.6,0.4
Nikola Jokic,26.0,27.0,0.675,8.9,12.7,1.4,0.8,0.4
Nikola Jovic,7.7,20.0,0.382,2.0,4.2,0.5,0.3,0.4
Nikola Vucevic,17.7,32.0,0.527,3.2,10.8,0.8,0.8,0.3
Noah Clowney,5.8,19.0,0.327,0.8,3.5,0.3,0.7,0.4
Noah Vonleh,1.1,27.0,0.209,0.3,2.1,0.1,0.3,0.2
Norman Powell,17.2,28.8,0.525,1.8,3.0,0.8,0.4,0.4
OG Anunoby,15.6,25.4,0.432,2.2,4.6,1.5,0.7,0.4
Obi Toppin,8.9,24.0,0.44,1.2,3.5,0.4,0.4,0.4
Ochai Agbaji,6.4,22.8,0.339,1.1,2.7,0.5,0.5,0.3
Olivier Sarr,7.0,22.0,0.323,0.9,4.2,0.3,0.7,0.4
Olivier-Maxence Prosper,3.0,21.0,0.386,0.6,2.0,0.2,0.1,0.3
Omer Yurtseven,4.9,24.0,0.438,0.8,4.8,0.2,0.4,0.1
Onuralp Bitim,3.5,24.0,0.358,0.6,1.4,0.1,0.1,0.3
Onyeka Okongwu,9.4,22.0,0.334,1.1,6.6,0.6,1.2,0.2
Orlando Robinson,3.2,22.5,0.296,0.8,3.2,0.3,0.3,0.3
Oshae Brissett,6.3,24.0,0.383,0.9,3.9,0.5,0.2,0.3
Otto Porter Jr.,8.2,28.0,0.344,1.5,5.7,1.1,0.5,0.4
Ousmane Dieng,4.4,19.5,0.38,1.2,2.1,0.3,0.2,0.3
P.J. Tucker,3.6,37.2,0.175,1.0,3.6,0.6,0.2,0.4
P.J. Washington,12.8,24.4,0.43,2.1,5.4,1.0,0.9,0.3
Paolo Banchero,21.3,20.5,0.662,4.6,6.9,0.8,0.6,0.3
Pascal Siakam,22.4,28.4,0.608,4.8,7.5,0.9,0.4,0.3
Pat Connaughton,7.7,30.0,0.303,1.6,4.0,0.7,0.2,0.4
Patrick Baldwin Jr.,4.2,20.5,0.429,0.6,2.2,0.4,0.2,0.4
Patrick Beverley,6.6,34.3,0.294,3.2,3.7,0.8,0.6,0.3
Patrick Williams,10.1,21.5,0.364,1.4,4.0,0.9,0.8,0.4
Patty Mills,7.2,34.0,0.394,1.6,1.4,0.5,0.1,0.3
Paul George,23.6,32.0,0.685,4.8,6.1,1.7,0.4,0.4
Paul Millsap,3.4,36.0,0.387,1.0,3.6,0.2,0.4,0.2
Paul Reed,4.9,23.0,0.371,0.7,4.1,0.8,0.7,0.3
Payton Pritchard,7.1,25.0,0.414,2.2,2.3,0.4,0.1,0.4
Peyton Watson,5.0,20.5,0.379,0.8,2.4,0.3,0.8,0.4
Precious Achiuwa,8.2,23.4,0.41,1.2,6.3,0.6,0.7,0.3
Quentin Grimes,7.9,22.2,0.348,1.4,2.3,0.7,0.2,0.4
R.J. Hampton,6.8,20.8,0.418,1.5,2.2,0.6,0.2,0.4
RJ Barrett,20.0,22.4,0.619,3.1,5.4,0.5,0.3,0.3
Rajon Rondo,5.5,35.0,0.365,4.6,2.8,0.8,0.1,0.4
Raul Neto,5.4,29.5,0.372,2.4,1.4,0.6,0.0,0.3
Rayan Rupert,4.0,19.0,0.319,1.6,2.4,0.3,0.1,0.4
Reggie Bullock,6.0,31.0,0.251,1.0,2.9,0.5,0.2,0.4
Reggie Jackson,12.0,32.0,0.527,3.9,2.4,0.6,0.2,0.3
Richaun Holmes,5.5,29.2,0.35,0.6,4.2,0.2,0.5,0.3
Ricky Council IV,5.4,22.0,0.519,0.5,1.4,0.3,0.0,0.4
Ricky Rubio,9.2,31.5,0.504,5.0,3.1,1.1,0.2,0.3
Robert Covington,6.9,31.8,0.31,1.1,4.4,1.3,1.0,0.4
Robert Williams,9.0,24.5,0.264,1.7,9.0,0.8,1.8,0.0
Robin Lopez,5.0,33.5,0.416,1.0,2.4,0.1,0.4,0.4
Rodney Hood,3.2,29.0,0.252,0.8,1.6,0.3,0.1,0.3
Rodney McGruder,5.6,30.5,0.337,0.9,2.2,0.4,0.0,0.4
Romeo Langford,5.4,22.3,0.324,0.7,2.5,0.5,0.3,0.3
Royce O'Neale,7.9,29.4,0.294,2.9,4.9,0.9,0.5,0.4
Rudy Gay,6.6,35.5,0.436,1.0,3.6,0.4,0.3,0.3
Rudy Gobert,14.3,30.0,0.373,1.2,13.1,0.7,1.9,0.0
Rui Hachimura,11.7,24.0,0.46,1.0,4.3,0.4,0.4,0.4
Russell Westbrook,15.4,34.0,0.626,6.8,5.9,1.0,0.4,0.3
Ryan Arcidiacono,0.6,28.5,0.241,0.7,0.6,0.2,0.0,0.2
Saben Lee,5.2,23.0,0.432,2.4,1.9,0.7,0.1,0.3
Saddiq Bey,14.0,23.0,0.46,1.8,5.2,0.9,0.2,0.4
Sam Hauser,6.0,25.0,0.343,0.8,2.4,0.3,0.2,0.4
Sam Merrill,8.0,27.0,0.395,1.8,2.0,0.3,0.1,0.4
Sandro Mamukelashvili,4.1,23.0,0.396,0.9,3.0,0.2,0.2,0.3
Santi Aldama,7.9,22.0,0.408,1.4,4.4,0.5,0.6,0.3
Sasha Vezenkov,5.4,28.0,0.408,0.5,2.3,0.5,0.2,0.4
Scoot Henderson,14.0,19.0,0.623,5.4,3.1,0.8,0.2,0.3
Scottie Barnes,16.8,21.0,0.5,4.8,7.4,1.2,1.0,0.3
Scotty Pippen Jr.,12.9,23.0,0.54,4.7,3.2,1.7,0.5,0.4
Semi Ojeleye,3.1,27.0,0.281,0.3,2.7,0.2,0.2,0.3
Serge Ibaka,6.7,32.0,0.421,1.0,4.4,0.2,0.6,0.4
Seth Curry,9.7,32.0,0.406,2.2,2.2,0.6,0.1,0.4
Shaedon Sharpe,12.9,19.5,0.489,2.0,4.0,0.7,0.4,0.3
Shai Gilgeous-Alexander,28.7,24.0,0.753,5.9,5.1,1.6,0.9,0.3
Shake Milton,6.4,26.2,0.412,2.1,2.0,0.4,0.2,0.3
Simone Fontecchio,8.6,27.7,0.407,1.3,3.0,0.5,0.3,0.4
Skylar Mays,4.4,25.3,0.431,2.1,1.3,0.5,0.1,0.3
Spencer Dinwiddie,13.7,29.0,0.45,5.4,3.4,0.7,0.3,0.4
Stanley Johnson,6.2,25.5,0.319,2.0,3.2,0.7,0.2,0.4
Stanley Umude,5.3,24.0,0.365,0.5,2.1,0.3,0.3,0.5
Stephen Curry,27.1,34.0,0.728,5.9,5.3,1.0,0.4,0.4
Sterling Brown,3.3,26.0,0.299,0.7,3.0,0.3,0.1,0.3
Steven Adams,7.8,28.5,0.325,2.8,10.8,0.9,1.0,0.0
Svi Mykhailiuk,5.2,25.0,0.417,1.1,1.5,0.4,0.1,0.4
T.J. McConnell,9.1,30.0,0.459,5.2,3.0,1.1,0.2,0.4
T.J. Warren,8.5,29.0,0.457,1.0,2.8,0.6,0.3,0.3
Taj Gibson,3.2,37.0,0.26,0.6,2.7,0.3,0.5,0.3
Talen Horton-Tucker,10.3,22.0,0.54,3.3,2.9,0.8,0.4,0.3
Tari Eason,9.6,21.5,0.463,1.2,6.5,1.3,0.8,0.4
Taurean Prince,8.4,28.0,0.372,1.4,2.6,0.6,0.3,0.4
Taylor Hendricks,7.3,20.0,0.327,0.8,4.6,0.7,0.8,0.4
Terance Mann,9.5,26.0,0.344,2.2,4.0,0.6,0.3,0.4
Terence Davis,8.6,24.5,0.567,1.2,2.7,0.8,0.3,0.3
Terrence Ross,8.8,30.8,0.426,1.6,2.6,0.5,0.2,0.3
Terry Rozier,20.0,28.4,0.586,5.3,4.1,1.1,0.3,0.4
Terry Taylor,4.2,23.0,0.345,0.6,2.4,0.2,0.2,0.3
Thaddeus Young,5.4,33.8,0.36,1.9,3.6,0.9,0.2,0.2
Thanasis Antetokounmpo,2.0,30.0,0.338,0.5,1.2,0.2,0.2,0.0
Theo Pinson,2.4,27.0,0.325,1.2,1.6,0.2,0.0,0.4
Thomas Bryant,8.8,25.0,0.426,0.7,5.0,0.3,0.6,0.3
Théo Maledon,6.9,20.5,0.435,2.8,2.7,0.7,0.2,0.3
Tim Hardaway Jr.,14.3,30.0,0.488,1.9,3.5,0.7,0.1,0.4
Timothé Luwawu-Cabarrot,4.4,26.0,0.33,0.8,1.6,0.3,0.1,0.4
