ID;Player
555;Tobias Harris
556;Tomá Satoransk?
557;Tony Bradley
558;Tony Snell
559;Torrey Craig
560;Toumani Camara
561;Trae Young
562;Trayce Jackson-Davis
563;Tre Jones
564;Tre Mann
565;Trendon Watford
566;Trent Forrest
567;Trevor Ariza
568;Trey Burke
569;Trey Jemison
570;Trey Lyles
571;Trey Murphy III
572;Tristan Thompson
573;Troy Brown Jr.
574;Ty Jerome
575;TyTy Washington Jr.
576;Tyler Cook
577;Tyler Herro
578;Tyrese Haliburton
579;Tyrese Maxey
580;Tyus Jones
581;Udoka Azubuike
582;Usman Garuba
583;Vasilije Mici?
584;Victor Oladipo
585;Victor Wembanyama
586;Vince Williams Jr.
587;Vit Krejci
588;Vlatko Cancar
589;Walker Kessler
590;Wayne Ellington
591;Wendell Carter Jr.
592;Wendell Moore Jr.
593;Wenyen Gabriel
594;Wesley Matthews
595;Will Barton
596;Willie Cauley-Stein
597;Willy Hernangómez
598;Xavier Tillman Sr.
599;Yuta Watanabe
600;Zach Collins
601;Zach LaVine
602;Zeke Nnaji
603;Ziaire Williams
604;Zion Williamson
