Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%,Cluster_Label
Dennis Smith Jr.,7.0,25.0,0.418,4.0,2.8,1.3,0.3,0.2,Role Player
Denzel Valentine,2.9,28.0,0.355,0.5,1.8,0.3,0.0,0.4,Bench Player
Dereck Lively II,8.8,19.0,0.296,1.1,6.9,0.7,1.4,0.0,Defensive Specialist
Derrick Favors,5.3,30.0,0.309,0.6,4.7,0.4,0.3,0.1,Role Player
Derrick Jones Jr.,6.4,25.0,0.318,0.7,3.0,0.6,0.6,0.3,Role Player
Derrick Rose,8.5,34.0,0.525,3.0,2.1,0.5,0.3,0.4,Role Player
Derrick White,13.2,27.6,0.442,4.6,3.6,0.8,0.9,0.3,Role Player
Desmond Bane,21.1,24.0,0.621,4.2,4.6,1.1,0.4,0.4,Role Player
Devin Booker,27.2,26.0,0.728,5.7,4.7,1.0,0.4,0.4,All Star
Devin Vassell,16.8,22.0,0.535,3.2,4.0,1.1,0.4,0.4,Role Player
Devonte' Graham,8.5,27.0,0.431,3.0,1.9,0.7,0.2,0.3,Role Player
Dewayne Dedmon,5.7,32.7,0.435,0.6,4.3,0.3,0.5,0.3,Role Player
Dillon Brooks,15.1,27.0,0.544,2.4,3.3,1.0,0.2,0.3,Role Player
Domantas Sabonis,19.1,25.8,0.512,6.4,12.6,0.9,0.5,0.3,Role Player
Dominick Barlow,4.2,19.5,0.3,1.0,3.5,0.4,0.6,0.2,Bench Player
Donovan Mitchell,26.9,26.0,0.727,5.3,4.5,1.6,0.4,0.4,All Star
Donte DiVincenzo,11.0,25.8,0.434,3.2,4.2,1.3,0.2,0.4,Role Player
Dorian Finney-Smith,8.8,29.0,0.299,1.6,4.8,0.9,0.5,0.3,Role Player
Doug McDermott,8.2,31.2,0.408,1.2,1.6,0.2,0.0,0.4,Role Player
Draymond Green,8.2,32.0,0.336,6.6,7.2,1.1,0.9,0.3,Defensive Specialist
Drew Eubanks,7.7,24.6,0.366,1.2,5.5,0.5,0.8,0.4,Role Player
Duane Washington Jr.,8.9,21.5,0.624,1.9,1.4,0.4,0.1,0.4,Role Player
Duncan Robinson,10.1,28.0,0.41,1.8,2.2,0.5,0.1,0.4,Role Player
Duop Reath,9.1,27.0,0.487,1.0,3.7,0.5,0.6,0.4,Role Player
Dwight Howard,6.2,36.0,0.343,0.6,5.9,0.6,0.6,0.5,Role Player
Dwight Powell,6.2,31.0,0.278,1.1,4.1,0.5,0.4,0.2,Role Player
Dylan Windler,2.2,25.0,0.269,0.7,1.8,0.3,0.1,0.3,Bench Player
Dyson Daniels,4.8,19.5,0.283,2.5,3.6,1.0,0.3,0.3,Bench Player
Ed Davis,0.9,32.0,0.142,0.2,2.1,0.1,0.3,0.0,Bench Player
Edmond Sumner,7.1,27.0,0.495,1.3,1.5,0.6,0.2,0.4,Role Player
Elfrid Payton,3.0,27.0,0.424,2.0,1.8,0.5,0.1,0.2,Bench Player
Elijah Hughes,3.6,23.0,0.376,0.6,1.8,0.4,0.2,0.2,Bench Player
Enes Freedom,3.7,29.0,0.321,0.2,4.6,0.1,0.4,0.4,Bench Player
Eric Bledsoe,9.9,32.0,0.467,4.2,3.4,1.3,0.4,0.3,Role Player
Eric Gordon,12.2,34.0,0.417,2.5,1.9,0.7,0.4,0.4,Role Player
Eric Paschall,5.8,25.0,0.414,0.6,1.8,0.2,0.1,0.4,Role Player
Eugene Omoruyi,5.6,25.3,0.481,0.7,2.4,0.6,0.1,0.3,Role Player
Evan Fournier,8.6,30.2,0.451,1.6,2.0,0.8,0.2,0.3,Role Player
Evan Mobley,15.6,21.0,0.458,2.8,8.9,0.8,1.5,0.3,Defensive Specialist
Facundo Campazzo,5.1,30.0,0.337,3.4,1.8,1.0,0.4,0.3,Role Player
Frank Jackson,10.6,23.0,0.485,1.0,1.6,0.5,0.2,0.3,Role Player
Frank Kaminsky,2.6,29.0,0.345,0.8,1.4,0.2,0.0,0.4,Bench Player
Frank Ntilikina,3.5,23.5,0.336,1.2,1.4,0.4,0.1,0.3,Bench Player
Franz Wagner,17.8,21.0,0.54,3.4,4.6,1.0,0.3,0.3,Role Player
Fred VanVleet,19.0,28.0,0.519,7.3,4.1,1.6,0.6,0.4,Defensive Specialist
Furkan Korkmaz,4.6,25.0,0.385,1.1,1.5,0.4,0.1,0.3,Bench Player
GG Jackson II,14.6,19.0,0.565,1.2,4.1,0.6,0.5,0.4,Role Player
Gabe Vincent,9.0,25.5,0.396,2.8,2.0,0.9,0.2,0.4,Role Player
Garrett Temple,3.5,36.0,0.333,0.9,1.6,0.5,0.2,0.3,Bench Player
Garrison Mathews,6.1,26.0,0.326,0.6,1.8,0.5,0.2,0.4,Role Player
Gary Clark,2.7,27.0,0.276,0.5,2.4,0.3,0.2,0.4,Bench Player
Gary Harris,8.8,28.0,0.317,1.5,1.9,0.9,0.2,0.4,Role Player
Gary Payton II,5.7,30.0,0.29,1.1,3.1,1.1,0.3,0.4,Role Player
Gary Trent Jr.,16.5,24.0,0.498,1.8,2.6,1.5,0.2,0.4,Role Player
George Hill,5.4,35.7,0.275,2.4,2.2,0.6,0.1,0.3,Role Player
Georges Niang,8.9,29.0,0.386,1.2,2.8,0.4,0.2,0.4,Role Player
Giannis Antetokounmpo,30.5,28.0,0.831,6.0,11.6,1.0,1.1,0.3,All Star
Goga Bitadze,4.9,23.0,0.381,1.1,3.5,0.4,0.8,0.2,Bench Player
Goran Dragic,6.7,35.7,0.449,3.1,2.0,0.4,0.1,0.3,Role Player
Gordon Hayward,12.0,32.4,0.448,3.4,3.9,0.8,0.3,0.4,Role Player
Gorgui Dieng,3.7,32.5,0.422,1.2,3.2,0.2,0.4,0.4,Bench Player
Gradey Dick,8.5,20.0,0.407,1.1,2.2,0.6,0.0,0.4,Role Player
Grant Williams,9.6,24.4,0.338,2.0,4.2,0.6,0.5,0.4,Role Player
Grayson Allen,11.7,27.0,0.347,2.3,3.5,0.8,0.4,0.4,Role Player
Greg Brown III,4.7,20.0,0.407,0.7,2.8,0.5,0.5,0.3,Bench Player
Gui Santos,3.6,21.0,0.362,0.6,2.1,0.2,0.1,0.4,Bench Player
Hamidou Diallo,10.2,23.5,0.515,1.2,4.2,1.0,0.3,0.2,Role Player
Harrison Barnes,14.5,30.0,0.404,1.7,4.4,0.7,0.1,0.4,Role Player
Harry Giles,2.4,25.0,0.643,0.3,1.3,0.1,0.1,0.2,Bench Player
Hassan Whiteside,8.2,32.0,0.394,0.4,7.6,0.3,1.6,0.0,Role Player
Haywood Highsmith,5.2,26.5,0.276,1.0,3.4,0.8,0.4,0.4,Role Player
Herbert Jones,10.1,24.0,0.329,2.4,3.8,1.6,0.7,0.4,Defensive Specialist
Ibou Badji,1.5,21.0,0.186,0.6,2.3,0.1,0.9,0.0,Bench Player
Ignas Brazdeikis,5.0,23.0,0.41,0.9,1.7,0.2,0.1,0.3,Role Player
Immanuel Quickley,15.4,23.4,0.536,4.2,3.7,0.8,0.1,0.4,Role Player
Isaac Okoro,8.2,22.0,0.291,1.6,2.8,0.8,0.4,0.4,Role Player
Isaiah Hartenstein,7.0,24.0,0.314,2.0,6.6,0.8,1.0,0.3,Role Player
Isaiah Jackson,7.3,21.0,0.451,0.6,4.2,0.6,1.3,0.2,Role Player
Isaiah Joe,7.1,23.0,0.395,1.0,1.9,0.5,0.2,0.4,Role Player
Isaiah Livers,5.8,24.5,0.282,1.0,2.4,0.6,0.4,0.3,Role Player
Isaiah Roby,7.1,23.5,0.432,1.2,3.6,0.6,0.5,0.4,Role Player
Isaiah Stewart,10.2,21.0,0.361,1.4,7.8,0.4,0.9,0.3,Role Player
Isaiah Thomas,8.4,32.0,0.585,1.5,1.3,0.3,0.2,0.3,Role Player
Ish Smith,5.0,33.6,0.423,3.5,2.0,0.6,0.3,0.4,Role Player
Ish Wainright,3.3,27.5,0.308,0.6,1.8,0.5,0.2,0.3,Bench Player
Ivica Zubac,10.9,25.0,0.363,1.3,9.2,0.4,1.2,0.0,Role Player
JT Thor,3.0,20.0,0.291,0.5,1.9,0.2,0.3,0.3,Bench Player
Ja Morant,26.8,22.5,0.83,7.4,5.8,1.2,0.4,0.3,All Star
JaMychal Green,6.4,31.5,0.402,0.9,3.9,0.5,0.4,0.3,Role Player
JaVale McGee,5.9,35.0,0.526,0.4,4.0,0.2,0.7,0.3,Role Player
Jabari Smith Jr.,13.2,19.5,0.43,1.5,7.6,0.6,0.8,0.3,Role Player
Jabari Walker,6.4,20.5,0.385,0.8,4.7,0.4,0.2,0.3,Role Player
Jacob Gilyard,4.4,25.0,0.264,3.4,1.2,0.8,0.1,0.4,Bench Player
Jaden Hardy,8.0,20.5,0.583,1.4,1.8,0.4,0.1,0.4,Role Player
Jaden Ivey,15.8,20.5,0.591,4.5,3.6,0.8,0.4,0.3,Role Player
Jaden McDaniels,10.6,22.0,0.364,1.5,3.7,0.8,0.8,0.4,Role Player
Jaden Springer,3.6,21.0,0.422,1.0,1.7,0.8,0.3,0.2,Bench Player
Jae Crowder,7.8,32.0,0.306,1.6,4.2,1.1,0.3,0.3,Role Player
Jae'Sean Tate,8.3,27.0,0.409,2.2,4.1,0.7,0.3,0.3,Role Player
Jaime Jaquez Jr.,11.9,22.0,0.419,2.6,3.8,1.0,0.3,0.3,Role Player
Jake LaRavia,6.9,21.5,0.422,1.2,2.8,0.6,0.2,0.3,Role Player
Jake Layman,2.4,27.0,0.385,0.3,1.1,0.2,0.1,0.2,Bench Player
Jakob Poeltl,12.5,27.0,0.422,2.7,9.0,0.9,1.4,0.2,Defensive Specialist
Jalen Brunson,23.0,26.0,0.63,5.9,3.7,0.9,0.1,0.4,All Star
Jalen Duren,11.4,19.5,0.391,1.8,10.2,0.6,0.8,0.0,Role Player
Jalen Green,19.7,20.0,0.627,3.3,4.1,0.8,0.3,0.3,Role Player
Jalen Hood-Schifino,1.6,20.0,0.565,0.4,0.6,0.1,0.1,0.1,Bench Player
Jalen Johnson,8.0,21.0,0.432,1.6,4.6,0.6,0.5,0.3,Role Player
Jalen McDaniels,7.3,25.0,0.396,1.2,3.4,0.8,0.3,0.3,Role Player
Jalen Pickett,1.6,24.0,0.365,0.8,0.5,0.1,0.0,0.4,Bench Player
Jalen Smith,9.6,21.6,0.483,0.7,5.9,0.3,0.8,0.3,Role Player
Jalen Suggs,11.4,21.0,0.507,3.3,3.2,1.3,0.5,0.3,Role Player
Jalen Williams,16.6,21.5,0.491,3.9,4.2,1.2,0.6,0.4,Role Player
Jalen Wilson,5.0,23.0,0.33,1.0,3.0,0.3,0.1,0.3,Role Player
Jamal Cain,3.7,24.0,0.37,0.4,1.4,0.4,0.2,0.4,Bench Player
